Episode,Reward,PolicyLoss,ValueLoss
1,803.7967274564692,-65.99064636230469,6227.2763671875
2,647.1338956402536,-63.2050895690918,7002.8916015625
3,-269.27187055892756,20.027772903442383,4538.087890625
4,717.6419543892365,-59.34881591796875,5626.4609375
5,948.7807720471264,-82.90611267089844,8779.1875
6,1004.9230029093895,-83.17161560058594,8492.720703125
7,94.3459091344223,14.565977096557617,6886.68359375
8,905.3210114373478,-79.92955780029297,7848.6181640625
9,1287.0443425858214,-107.01737976074219,12970.8037109375
10,1440.9576320291876,-120.42412567138672,15449.80078125
11,1330.8871663023997,-108.89616394042969,12792.6806640625
12,1215.1579720450611,-102.77086639404297,11667.99609375
13,1193.4310867175907,-92.02406311035156,9615.6484375
14,1287.9699941759652,-99.43597412109375,10861.0419921875
15,1277.9266741612064,-96.42822265625,10635.376953125
16,1354.6425840087925,-100.87736511230469,10999.8203125
17,1138.6796076776004,-76.41346740722656,6754.79931640625
18,1142.7092599603047,-70.29293823242188,5914.154296875
19,1300.3941974393304,-79.58106994628906,7591.90234375
20,1172.143460082118,-74.26976776123047,7141.41796875
